Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Binca Games,2014.0,Mumbai,Games,It offers games that are available across India and UK.,"Rubianca Wadhwa, Sahil Wadhwa",Sunil Gavaskar,4000000.0,Series H,2019-01-01
KredX,2014.0,Bengaluru,Unknown,Invoice discounting platform,Manish Kumar,Tiger Global Management,26000000.0,Series B,2019-01-01
m.Paani,2014.0,Mumbai,Unknown,It digitizes and organises local retailers,Akanksha Hazari,"AC Ventures, Henkel",5500000.0,Series A,2019-01-01
Origo,2010.0,Gurugram,AgriTech,It provides post-harvest management services for agricultural commodities,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,Pre-Seed,2019-01-01
WishADish,2010.0,Delhi,Food & tech,Provides management solution for restaurants,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,6000000.0,Debt Financing,2019-01-01
Ecom Express,2012.0,Gurugram,Transport,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,"Ashneer Grover, Shashvat Nakrani",CDC Group,36000000.0,Series I,2019-01-01
Stanza Living,2017.0,Delhi,Accomodation,Provides comfortable and secure accomodation for students,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,5700000.0,Series A,2019-01-01
PiBeam,2017.0,Chennai,Transport,It is engaged in building sustainable and affordable micro-mobility electric vehicles,Visakh Sasikumar,GAIL (India) Ltd,50000000.0,Seed Round,2019-01-01
Euler Motors,2017.0,Delhi,Transport,It is offering mobility as a service,Saurav Kumar,"Blume Ventures, Emergent Ventures",2000000.0,Series I,2019-01-01
Moms Co,2017.0,New Delhi,E-commerce,It is into mother and baby care-focused consumer goods,Malika Sadani,"Saama Capital, DSG Consumer Partners",5000000.0,Series B,2019-01-01
Cubical Labs,2013.0,Unknown,IoT,Home automation solution provider,"Dhruv Ratra, Swati Vyas",Rockstud Capital,4000000.0,Series B,2019-01-01
Lawyered,2015.0,Delhi,Legal tech,It helps to connect to legal advise online,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000.0,Debt Financing,2019-01-01
Cuemath,2013.0,Bengaluru,Edtech,It helps students to learn math online,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,Series I,2019-01-01
Licious,2015.0,Bengaluru,Food,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000.0,Series D,2019-01-01
Nivesh.com,2016.0,Noida,Mutual Funds,The platform simplifies the process of investment,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,600000.0,Venture - Series Unknown,2019-01-01
Zebu,2015.0,Unknown,Cybersecurity,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",Team of Waterloo-based software developers,Undisclosed,4000000.0,Seed,2019-01-01
Smart Institute,2015.0,Surat,Edtech,A platform to learn online,Nirmit Parikh,HNI investors,1500000.0,Series F,2019-01-01
CarDekho,2008.0,Jaipur,Automobile,Enables people to buy and sell new/old cars.,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Series D,2019-01-01
Shadowfax,2015.0,Bengaluru,Transport,A platform for delivery services,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Series D,2019-01-01
Credr,2014.0,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,Series F,2019-01-01
Sportido,2015.0,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,"Neeraj Aggarwala, Akhil Ramachandran","Inflection Point Ventures, SucSEED Venture Partners.",4000000.0,Series B,2019-01-01
Phable,2018.0,Unknown,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app",Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000.0,Series A+,2019-01-01
Sarva,2018.0,Chennai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,"Venture fund, Fireside Ventures.",2800000.0,Series B+,2019-01-01
IndyFint,2019.0,Bengaluru,Finance,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Paddy Padmanabhan,Kalaari Capital,2100000.0,Series A,2019-01-01
Zolostays,2015.0,Unknown,Accomodation,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,7000000.0,Seed,2019-01-01
Ola,2010.0,Bengaluru,Transport,It enables one to book cab online,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",311000000.0,Series G,2019-01-01
Zoomcar,2013.0,Bengaluru,Transport,A car rental service platform,"Greg Moran, David Back",Zoomcar Inc,4800000.0,Series D1,2019-01-01
Kratikal,2013.0,Uttar pradesh,Technology,Provides cyber security solutions,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Private Equity,2019-01-01
Froogal,2013.0,Hyderabad,Marketing & Customer loyalty,A cloud based Customer Loyalty & Engagement Platform,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000.0,Fresh Funding,2019-01-01
Infra.Market,2013.0,Mumbai,Infratech,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A,2019-01-01
Oyo,2013.0,Gurugram,Hospitality,Provides rooms for comfortable stay,Ritesh Agarwal,Alteria Capital,693000000.0,Series B+,2019-01-01
GoMechanic,2016.0,Delhi,Automobile & Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,5000000.0,Series B,2019-01-01
Spinny,2015.0,Delhi,Automobile,Online car retailer,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,Series D1,2019-01-01
Ess Kay Fincorp,2015.0,Rajasthan,Finance,Organised Non-Banking Finance Company,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",33000000.0,Early Seed,2019-01-01
Unbox Robotics,2019.0,Bengaluru,AI startup,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",1200000.0,Seed,2020-01-01
upGrad,2015.0,Mumbai,EdTech,UpGrad is an online higher education platform.,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management",120000000.0,Seed Round,2020-01-01
Lead School,2012.0,Mumbai,EdTech,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",30000000.0,Series D,2020-01-01
Bizongo,2015.0,Mumbai,B2B E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",51000000.0,Series C,2020-01-01
FypMoney,2021.0,Gurugram,Finance,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000.0,Seed,2020-01-01
Urban Company,2014.0,New Delhi,Home services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia","Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,188000000.0,Bridge,2020-01-01
Comofi Medtech,2018.0,Bengaluru,HealthTech,Comofi Medtech is a healthcare robotics startup.,Gururaj KB,"CIIE.CO, KIIT-TBI",200000.0,Seed,2020-01-01
Qube Health,2016.0,Mumbai,HealthTech,India's Most Respected Workplace Healthcare Management Company,Gagan Kapur,Inflection Point Ventures,4000000.0,Bridge,2020-01-01
Vitra.ai,2020.0,Bengaluru,Tech Startup,Vitra.ai is an AI-based video translation platform,Akash Nidhi PS,Inflexor Ventures,4000000.0,Series E,2020-01-01
Taikee,2010.0,Mumbai,E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra","Venture Catalysts, 9Unicorns Accelerator Fund",1000000.0,Series D,2020-01-01
Fitterfly,2016.0,Mumbai,HealthTech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",3000000.0,Debt Financing,2020-01-01
FreeStand,2017.0,New Delhi,B2B service,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park",100000.0,Series E,2020-01-01
MyDentalPlan,2014.0,Bengaluru,Helathcare,My Dental Plan provides dental care packages and services.,Saurabh Saxena,Safe Planet Medicare,700000.0,Seed,2020-01-01
Freyr Energy,2014.0,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners",2000000.0,Series A+,2020-01-01
DealShare,2018.0,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000.0,Series G,2020-01-01
Tessolve,1993.0,Bengaluru,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.","P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital,40000000.0,Series F,2020-01-01
Smart Joules,2014.0,New Delhi,Renewable Energy,Smart Joules is an energy management company.,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000.0,Series B+,2020-01-01
ORAI,2020.0,Bengaluru,IT startup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,400000.0,Series C,2020-01-01
ixamBee,2016.0,New Delhi,EdTech,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",300000.0,Seed,2020-01-01
CoinSwitch Kuber,2017.0,Bengaluru,Finance,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000.0,Series B,2020-01-01
Razorpay,2014.0,Bengaluru,Finance,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",160000000.0,Series E,2020-01-01
Uable,2020.0,Bengaluru,EdTech,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",4000000.0,Seed,2020-01-01
ZFW Hospitality,2015.0,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",150000.0,Series A,2020-01-01
Optimized Electrotech,2017.0,Ahmadabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,1800000.0,Debt Financing,2020-01-01
Northern Arc,2008.0,Chennai,Finance,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Kotak Mahindra Bank, FMO",5000000.0,Debt Financing,2020-01-01
Chara,2019.0,Bengaluru,Deep Tech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000.0,Seed,2020-01-01
Sirona Hygiene,2015.0,New Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3000000.0,Series A,2020-01-01
Pristyn Care,2018.0,Gurugram,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",53000000.0,Series D,2020-01-01
TrulyMadly,2013.0,New Delhi,Dating,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",2000000.0,Series D,2020-01-01
Vidyakul,2018.0,Unknown,EdTech,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV",500000.0,Seed,2020-01-01
Jambox Games,2021.0,Bengaluru,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Ravi Vyas,We Founder Circle,1100000.0,Seed,2020-01-01
Miko,2015.0,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Chiratae Ventures, YourNest Venture Capital",6000000.0,Fresh Funding,2020-01-01
SuperK,2019.0,Andhra Pradesh,Retail,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,800000.0,Seed,2020-01-01
TagZ Foods,2019.0,Bengaluru,Food,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000.0,Fresh Funding,2020-01-01
Fuel Buddy,2017.0,New Delhi,Oil and Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Aditya Singh,Jaipuria Family Office,1000000.0,Series F,2020-01-01
M1xchange,2017.0,Gurugram,Finance,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,Amazon,10000000.0,Seed,2020-01-01
Spintly,2017.0,Goa,Tech Startup,Wireless cloud based access control platform,Rohin Parkar,Riso Capital,500000.0,Venture - Series Unknown,2020-01-01
EF Polymer,2018.0,Rajsamand,AgriTech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,200000.0,Fresh Funding,2020-01-01
boAt,2016.0,New Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,"Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus",6000000.0,Seed Round,2020-01-01
TruNativ,2019.0,Mumbai,Food & Beverages,TruNativ Foods & Beverages Pvt Ltd,"Pranav Malhotra, Mamta Malhotra",9Unicorns,4000000.0,Seed,2020-01-01
iBus,2010.0,Bengaluru,Telecommuncation,iBus Networks is an in-building connectivity solutions company,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,21000000.0,Fresh Funding,2020-01-01
Puresh Daily,2019.0,Ranchi,Milk startup,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",100000.0,Seed,2020-01-01
LearnVern,2016.0,Ahmadabad,EdTech,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",Kalaari Capital,1000000.0,Series B,2020-01-01
LimeChat,2020.0,"Faridabad, Haryana",AI Chatbot,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",7500000.0,Seed,2020-01-01
Dybo,2019.0,Bengaluru,IT,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,100000.0,Seed,2020-01-01
moEVing,2021.0,Gurugram,Transport,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,Y Combinator,1000000.0,Seed,2020-01-01
WeWork India,2017.0,Bengaluru,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Karan Virwani,Titan Capital,26000000.0,Fresh Funding,2020-01-01
Solethreads,2018.0,Gurugram,Fashion,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Vikram Iyer,"DSG Consumer Partners, Saama Capital",1000000.0,Series A,2020-01-01
Beldara,2018.0,Mumbai,E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000.0,Series I,2020-01-01
CredFlow,2020.0,New Delhi,Finance,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Seed,2020-01-01
